#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
   1|132.897815  11.575597|3524.156|-246.966|99.999|0.999|16.064|0.009|99.999|0.999|   1.73| 3.51|   1.73| 1.25| 95| 34.251|  0.116
   2|132.867489  11.576494|3973.470|-233.047|99.999|0.999|20.236|0.040|99.999|0.999|   0.06| 3.21|  -1.25| 3.57| 39|999.999|999.999
   3|133.092502  11.576703| 639.898|-230.841|99.999|0.999|21.698|0.118|99.999|0.999|  13.86|36.24|  -5.12|13.92| 29|999.999|999.999
   4|132.874183  11.577474|3874.268|-218.312|99.999|0.999|18.996|0.013|99.999|0.999|   7.14| 6.31|  -7.26| 5.00|  2|999.999|999.999
   5|133.093782  11.577612| 620.936|-217.087|99.999|0.999|21.452|0.260|99.999|0.999|  22.37| 7.79| -22.55|13.39|  2|999.999|999.999
   6|132.773239  11.578593|5369.865|-199.708|99.999|0.999|17.234|0.010|99.999|0.999|  25.23| 6.43| -29.33|28.44|  0|999.999|999.999
   7|132.614021  11.578638|7728.562|-194.667|99.999|0.999|18.647|0.008|99.999|0.999|   5.41| 0.24|  -2.62| 2.38| 28|999.999|999.999
   8|133.035261  11.579114|1487.807|-194.539|99.999|0.999|20.867|0.046|99.999|0.999|  15.05|24.16|   5.71| 2.32|  7|999.999|999.999
   9|132.949617  11.579316|2756.606|-191.207|99.999|0.999|15.411|0.009|99.999|0.999|  18.39| 1.25|   2.32| 5.06|  0| 90.264|  0.060
  10|132.829375  11.579519|4538.135|-186.755|99.999|0.999|19.515|0.042|99.999|0.999|   6.31| 6.19| -13.15|10.00|  0|999.999|999.999
  11|132.781615  11.579436|5245.755|-187.132|99.999|0.999|20.963|0.165|99.999|0.999|  19.64| 1.73|  -3.69|23.98|  3|999.999|999.999
  12|132.760954  11.579709|5551.855|-182.579|99.999|0.999|15.948|0.011|99.999|0.999|  16.84|11.48| -10.47|19.87|  0| 55.715|  0.048
  13|132.603267  11.579928|7887.799|-174.801|99.999|0.999|21.925|0.219|99.999|0.999|  47.24|23.92|  13.39|27.13|  1|999.999|999.999
  14|132.826680  11.580374|4578.047|-173.792|99.999|0.999|21.020|0.143|99.999|0.999|  15.47| 1.37| -14.28|18.39|  3|999.999|999.999
  15|132.849815  11.580653|4235.266|-169.933|99.999|0.999|15.516|0.010|99.999|0.999|   2.86| 3.87|  -7.44| 6.78|  1|999.999|999.999
  16|132.828999  11.580902|4543.685|-165.854|99.999|0.999|19.903|0.012|99.999|0.999|   6.07| 4.52|  -7.14| 9.28| 10|999.999|999.999
  17|132.843219  11.581718|4332.969|-153.744|99.999|0.999|20.316|0.069|99.999|0.999|   6.19|11.78|  -9.88| 9.82|  6|999.999|999.999
  18|132.866274  11.582584|3991.374|-140.980|99.999|0.999|16.339|0.004|99.999|0.999|   0.00| 1.84|  -5.47| 3.03| 50|999.999|999.999
  19|132.739483  11.582615|5869.885|-138.156|99.999|0.999|17.025|0.007|99.999|0.999| -17.85|10.41|   9.16|24.57|  0|999.999|999.999
  20|132.635704  11.582506|7407.272|-136.919|99.999|0.999|20.996|0.036|99.999|0.999| -10.06| 9.70|  -2.74|13.15| 43|999.999|999.999
  21|132.605395  11.583452|7856.169|-121.605|99.999|0.999|15.877|0.009|99.999|0.999|   5.06| 2.62| -17.14| 1.37|  0|999.999|999.999
  22|132.796964  11.583923|5018.244|-119.627|99.999|0.999|21.123|0.016|99.999|0.999|   2.86|14.52| -20.05|27.49|  8|999.999|999.999
  23|133.066218  11.584573|1029.187|-111.977|99.999|0.999|21.398|0.114|99.999|0.999|  11.07|14.46| -21.72|14.64|  7|999.999|999.999
  24|132.839076  11.584457|4394.312|-112.278|99.999|0.999|18.933|0.005|99.999|0.999|  13.03| 4.05|  -1.49| 1.49|  0|999.999|999.999
  25|132.795136  11.584821|5045.313|-106.018|99.999|0.999|17.190|0.010|99.999|0.999|  10.53| 7.85| -20.82|19.81|  0|999.999|999.999
  26|132.637301  11.585278|7383.529| -95.073|99.999|0.999|21.392|0.160|99.999|0.999|  13.39|15.17|   4.46|11.84| 24|999.999|999.999
  27|132.850971  11.585756|4218.042| -92.826|99.999|0.999|17.773|0.008|99.999|0.999|  10.77| 4.52|  -5.59| 8.21|  0|999.999|999.999
  28|132.608577  11.585641|7808.962| -88.643|99.999|0.999|21.276|0.111|99.999|0.999|  27.85| 9.64| -17.55|23.98|  0|999.999|999.999
  29|132.874716  11.586428|3866.230| -82.993|99.999|0.999|14.332|0.014|99.999|0.999|  -0.71| 2.80|  -3.33| 3.99| 99| 34.146|  0.065
